price,isOneOwner,mileage,year,displacement,trim
37.499,0,64.012,2011,5.5,7.0
8.995,0,108.605,1995,5.0,5.0
39.9,1,51.133,2012,4.6,7.0
52.99,1,27.316,2012,4.6,7.0
10.999,0,113.498,2005,5.0,5.0
31.0,0,68.484,2007,5.5,8.0
10.988,0,121.464,2003,5.0,5.0
38.995,0,42.603,2011,5.5,7.0
38.995,0,34.727,2010,3.5,2.0
35.99,0,30.12,2008,5.5,7.0
12.977,0,89.638,2004,5.0,5.0
24.896,0,91.021,2007,5.5,7.0
4.995,0,191.0,2000,5.0,5.0
69.995,0,17.53,2013,4.6,7.0
5.9,0,189.205,2006,4.3,4.0
9.995,0,142.923,2002,4.3,4.0
18.999,0,72.207,2006,5.0,5.0
24.995,0,119.646,2007,5.5,7.0
58.678,1,36.364,2012,4.6,7.0
15.5,0,111.812,2006,4.3,4.0
32.991,1,48.526,2007,5.5,7.0
5.995,0,167.552,2000,4.3,4.0
7.991,0,83.576,2000,5.0,5.0
40.9,0,51.001,2008,5.5,7.0
10.0,0,103.482,2003,4.3,4.0
27.995,0,65.084,2007,5.5,7.0
12.892,0,129.174,2005,5.0,5.0
56.992,0,27.116,2013,4.6,7.0
7.533,0,119.436,2000,5.0,5.0
35.392,0,57.418,2009,5.5,7.0
10.988,0,85.322,2002,4.3,4.0
27.95,0,70.516,2007,5.5,7.0
44.995,0,36.846,2010,5.5,7.0
36.0,1,58.509,2009,5.5,7.0
43.9,1,49.35,2011,5.5,7.0
41.999,0,46.699,2007,5.5,7.0
36.987,1,52.047,2008,5.5,7.0
34.995,0,66.661,2008,5.5,8.0
10.988,0,52.931,2003,5.0,5.0
39.995,0,44.917,2012,4.6,7.0
33.995,0,33.706,2008,5.5,7.0
79.95,1,4.226,2013,4.6,7.0
69.991,0,19.881,2013,4.6,7.0
29.955,1,86.712,2007,5.5,7.0
48.999,1,23.068,2013,4.6,7.0
25.888,1,40.514,2008,5.5,7.0
16.499,0,76.149,2006,5.0,5.0
3.0,0,218.611,1996,5.0,5.0
6.995,0,168.597,2003,4.3,4.0
68.9,0,13.325,2013,4.6,7.0
11.995,0,77.095,2002,5.8,8.0
13.9,0,139.623,2006,5.0,5.0
53.995,0,23.859,2012,4.6,7.0
17.998,0,91.48,2006,5.5,8.0
10.994,0,87.579,2005,5.0,5.0
40.995,0,48.233,2011,5.5,7.0
19.99,0,59.965,2003,5.4,6.0
9.995,0,113.706,2000,4.3,4.0
8.995,0,121.0,2001,4.3,4.0
6.995,0,114.154,2000,5.0,5.0
54.327,0,25.438,2011,5.5,7.0
58.995,0,26.661,2012,4.6,7.0
29.995,0,79.116,2007,5.5,7.0
28.888,0,93.166,2008,5.5,7.0
73.891,1,14.536,2013,4.6,7.0
7.99,0,113.892,2003,4.3,4.0
58.995,1,16.0,2012,4.6,7.0
11.895,0,103.514,2005,5.0,5.0
7.999,0,125.6,2004,4.3,4.0
34.998,1,64.761,2009,5.5,7.0
22.932,0,88.257,2007,5.5,7.0
40.9,1,46.752,2010,5.5,7.0
47.991,0,59.478,2011,5.5,7.0
46.995,0,26.923,2011,5.5,7.0
4.5,0,85.862,2000,5.0,5.0
40.971,0,30.021,2008,5.5,7.0
11.5,0,143.5,2006,5.0,5.0
5.995,0,124.877,1999,3.2,0.0
56.995,0,36.746,2013,4.6,7.0
26.0,0,85.351,2008,5.5,7.0
8.995,0,98.925,2004,4.3,4.0
34.961,0,44.158,2008,5.5,7.0
27.99,0,82.035,2008,5.5,7.0
25.555,0,67.564,2007,5.5,7.0
48.89,1,41.713,2012,4.6,7.0
56.8,0,29.813,2013,4.6,7.0
10.9,0,120.744,2002,5.8,8.0
7.5,0,136.5,2001,4.3,4.0
29.999,0,65.995,2007,5.5,7.0
79.994,1,18.554,2013,5.5,9.0
56.99,1,27.792,2013,4.6,7.0
11.977,0,89.364,2004,4.3,4.0
9.95,0,173.226,2002,4.3,4.0
39.991,0,62.489,2011,5.5,7.0
9.991,0,156.228,2000,5.0,5.0
54.991,0,31.528,2012,4.6,7.0
39.995,0,36.038,2007,5.5,7.0
64.995,0,16.19,2013,4.6,7.0
25.99,1,87.189,2007,5.5,7.0
30.995,0,67.065,2008,5.5,7.0
6.955,0,134.42,1999,3.2,0.0
8.995,0,114.489,2003,5.0,5.0
26.495,0,96.69,2007,5.5,7.0
24.95,0,92.525,2008,5.5,7.0
19.499,0,157.5,2007,5.5,7.0
29.995,0,45.704,2008,5.5,7.0
32.995,0,57.12,2008,5.5,7.0
8.999,0,95.93,1999,5.0,5.0
9.995,0,68.07,1995,3.2,0.0
35.192,0,47.302,2008,5.5,7.0
29.989,0,92.54,2007,5.5,7.0
34.998,0,35.233,2008,5.5,7.0
10.995,0,130.206,2006,4.3,4.0
42.798,0,29.629,2010,5.5,7.0
51.777,1,47.399,2012,4.6,7.0
41.733,0,58.618,2009,5.5,7.0
25.995,0,87.614,2008,5.5,7.0
33.995,0,44.625,2011,5.5,7.0
46.332,1,44.685,2012,4.6,7.0
32.995,1,51.817,2008,5.5,7.0
26.994,0,69.797,2008,5.5,7.0
25.9,0,109.503,2008,5.5,7.0
23.998,0,93.806,2007,5.5,7.0
26.991,0,89.716,2007,5.5,7.0
36.392,0,32.559,2009,5.5,7.0
29.999,0,86.0,2008,5.5,7.0
8.995,0,121.283,2003,4.3,4.0
6.995,0,111.837,2000,4.3,4.0
39.99,1,65.014,2010,5.5,7.0
7.995,0,88.97,1999,4.2,3.0
9.995,0,121.401,2002,4.3,4.0
54.991,1,32.449,2011,5.5,7.0
54.9,0,39.343,2010,5.5,7.0
55.422,0,26.496,2012,4.6,7.0
7.997,0,126.513,2000,5.0,5.0
17.995,0,117.361,2007,5.5,7.0
5.999,0,108.964,2001,4.3,4.0
16.99,0,74.402,2006,5.0,5.0
24.99,0,96.678,2007,5.5,7.0
9.995,0,120.575,2003,5.0,5.0
50.994,1,25.879,2012,4.6,7.0
9.991,0,92.734,2001,4.3,4.0
2.995,0,125.0,1995,5.0,5.0
11.999,0,148.168,2001,5.4,6.0
48.888,0,55.7,2010,5.5,7.0
58.995,0,23.727,2011,5.5,7.0
7.995,0,112.235,1998,4.2,3.0
6.995,0,140.0,1999,4.2,3.0
27.9,0,65.576,2007,5.5,7.0
32.5,0,48.669,2009,5.5,7.0
36.995,0,67.013,2008,5.5,7.0
28.975,0,58.638,2007,5.5,7.0
44.95,0,40.358,2007,5.5,8.0
52.977,1,42.071,2013,4.6,7.0
34.99,0,56.761,2008,5.5,7.0
32.988,0,36.805,2008,5.5,7.0
62.99,0,10.815,2012,4.6,7.0
9.95,0,107.703,2002,5.0,5.0
18.795,1,105.515,2007,5.5,7.0
21.98,0,109.105,2007,5.5,7.0
64.0,0,33.94,2008,6.0,10.0
8.99,0,66.784,2001,4.3,4.0
56.9,0,27.149,2008,6.3,9.0
43.998,0,33.744,2009,5.5,7.0
32.966,0,50.398,2008,5.5,7.0
6.995,1,122.022,2000,4.3,4.0
54.888,0,41.829,2012,4.6,7.0
7.991,0,105.1,2001,4.3,4.0
51.995,1,79.722,2012,4.6,7.0
28.888,0,76.03,2008,5.5,7.0
46.995,0,34.118,2011,5.5,7.0
28.9,0,69.713,2007,5.5,7.0
55.992,0,26.831,2011,5.5,7.0
56.877,1,27.481,2011,5.5,7.0
12.995,0,112.849,2005,5.4,6.0
20.995,0,99.233,2007,5.5,7.0
32.995,0,72.0,2008,5.5,7.0
40.999,0,46.729,2011,5.5,7.0
